STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,PERIOD_INC_INC_005,Year,OCC2_INC_INC_005,Occupation,SEX_INC_INC_005,Sex,QAL_INC_INC_005,Highest qualification,MEASURE_INC_INC_005,Measure,OBS_VALUE,Observation value
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,5,Level 4-6 certificate or diploma,AV_WEEK_INC,,923,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,5,Level 4-6 certificate or diploma,MED_HOUR_EARN,,22.56,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,5,Level 4-6 certificate or diploma,MED_WEEK_INC,,900,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,5,Level 4-6 certificate or diploma,NO_PEOPLE,,14.1,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,6,Bachelors degree and level 7 qualification,AV_HOUR_EARN,,33.68,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,6,Bachelors degree and level 7 qualification,AV_WEEK_INC,,1326,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,6,Bachelors degree and level 7 qualification,MED_HOUR_EARN,,28.07,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,6,Bachelors degree and level 7 qualification,MED_WEEK_INC,,1151,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,6,Bachelors degree and level 7 qualification,NO_PEOPLE,,23,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,7,Postgraduate qualification,AV_HOUR_EARN,,36.32,
