PERIOD,year,total_deficit_mm,rain_days_count,total_runoff_mm,total_rainfall_mm,station_id,station_name,month_name,load_timestamp,month_number
February,2021,,,0.0,,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
February,2022,6.4,10.0,0.0,156.2,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
February,2023,46.9,11.0,0.0,104.2,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
February,2024,,,0.0,,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
February,2025,,,0.0,,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
January,1985,102.7,3.0,0.0,5.2,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,1986,,,0.0,53.8,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,1987,,,0.0,,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,1993,,,0.0,,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,1994,104.6,15.0,0.0,32.6,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,1995,,10.0,,31.6,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,1997,,11.0,,62.9,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,1998,99.0,6.0,0.0,14.4,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,1999,,10.0,,18.0,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,2000,69.6,14.0,0.0,47.6,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,2002,7.3,14.0,0.0,152.8,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,2003,73.4,10.0,0.0,41.8,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,2004,91.5,10.0,0.0,22.8,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,2005,88.0,7.0,0.0,25.0,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,2006,73.4,15.0,0.0,40.2,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,2007,99.1,11.0,0.0,13.4,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,2008,106.6,6.0,0.0,6.0,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,2009,121.1,7.0,0.0,31.0,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,2010,107.0,13.0,0.0,28.6,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,2011,102.4,14.0,0.0,32.6,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,2012,115.4,12.0,0.0,24.6,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,2013,116.1,8.0,0.0,54.5,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,2014,135.6,11.0,0.0,13.8,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,2015,129.1,10.0,0.0,24.0,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,2016,30.9,13.0,0.0,98.0,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,2017,,,0.0,,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,2018,,,0.0,,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,2019,144.7,5.0,0.0,11.8,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,2020,105.3,5.0,0.0,34.6,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,2021,,,0.0,,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,2022,101.8,9.0,0.0,19.6,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,2023,127.1,8.0,0.0,16.6,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,2024,,14.0,,26.0,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
January,2025,52.4,15.0,0.0,82.2,4960,NIWA Station 4960,January,2025-08-01 09:46:31.021708,1
July,1989,,10.0,,72.8,4960,NIWA Station 4960,July,2025-08-01 09:46:31.021708,7
July,1993,,6.0,,21.0,4960,NIWA Station 4960,July,2025-08-01 09:46:31.021708,7
July,1994,,20.0,,160.0,4960,NIWA Station 4960,July,2025-08-01 09:46:31.021708,7
July,1995,,12.0,,56.0,4960,NIWA Station 4960,July,2025-08-01 09:46:31.021708,7
July,1997,,11.0,,34.0,4960,NIWA Station 4960,July,2025-08-01 09:46:31.021708,7
July,1998,,13.0,,52.6,4960,NIWA Station 4960,July,2025-08-01 09:46:31.021708,7
July,1999,,17.0,,297.8,4960,NIWA Station 4960,July,2025-08-01 09:46:31.021708,7
July,2000,,14.0,,16.8,4960,NIWA Station 4960,July,2025-08-01 09:46:31.021708,7
July,2001,0.0,13.0,9.5,82.0,4960,NIWA Station 4960,July,2025-08-01 09:46:31.021708,7
July,2002,0.0,10.0,22.6,34.4,4960,NIWA Station 4960,July,2025-08-01 09:46:31.021708,7
