month_name,year,station_id,station_name,load_timestamp,month_number,mean_temperature_c
February,1986,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,2.5
February,1987,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,3.1
February,1988,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,2.2
February,1989,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,2.6
February,1990,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,3.0
February,1991,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,3.1
February,1992,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,3.5
February,1995,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,2.3
February,1996,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,2.7
February,1997,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,1.7
February,1998,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,3.1
February,1999,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,3.4
February,2000,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,3.1
February,2001,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,2.8
February,2002,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,2.8
February,2003,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,3.0
February,2004,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,2.1
February,2005,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,2.6
February,2006,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,2.8
February,2007,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,2.6
February,2008,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,3.0
February,2009,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,3.3
February,2010,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,2.9
February,2011,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,2.8
February,2012,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,2.6
February,2013,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,2.2
February,2014,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,2.7
February,2015,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,3.3
February,2016,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,2.8
February,2017,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,2.7
February,2018,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,3.5
February,2019,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,3.4
