PERIOD,year,mean_temperature_c,station_id,station_name,month_name,load_timestamp,month_number
January,1999,16.7,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,2000,14.1,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,2002,14.7,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,2003,14.8,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,2004,16.8,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,2005,15.4,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,2006,15.5,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,2007,14.3,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,2008,16.6,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,2009,17.3,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,2010,14.7,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,2011,15.7,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,2012,14.5,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,2013,16.4,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,2014,15.0,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,2015,16.0,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,2016,14.8,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,2017,14.9,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,2018,17.3,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,2019,16.8,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,2020,15.5,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,2021,15.2,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,2022,15.4,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,2023,16.2,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,2024,16.6,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,2025,13.3,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
July,1984,7.7,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,1985,8.4,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,1986,6.8,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,1987,7.4,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,1988,8.5,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,1989,6.8,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,1990,7.5,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,1991,7.0,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,1992,7.1,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,1993,8.5,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,1994,6.6,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,1995,6.1,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,1997,7.5,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,1998,8.7,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,1999,7.7,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,2000,8.5,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,2001,6.9,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,2002,7.3,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,2003,7.1,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,2004,7.2,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,2005,8.5,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,2006,7.9,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,2007,7.3,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,2008,7.3,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,2009,6.5,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,2010,7.3,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,2011,7.3,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,2012,8.4,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,2014,7.0,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,2015,6.9,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,2016,8.3,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,2017,6.9,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,2018,9.0,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,2019,9.3,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,2020,7.6,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,2021,8.1,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,2022,7.8,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,2023,8.6,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
July,2024,8.2,4960,NIWA Station 4960,July,2025-08-01 09:46:31.030696,7
June,1984,10.0,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,1985,9.4,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,1986,8.3,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,1987,8.3,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,1988,8.6,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,1989,8.4,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,1991,7.1,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,1992,7.1,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,1993,9.3,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,1994,7.3,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,1995,7.0,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,1997,8.4,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,1998,8.9,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,1999,8.8,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,2000,9.4,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,2001,8.9,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,2002,9.1,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,2003,10.3,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,2004,10.0,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,2005,7.5,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,2006,7.1,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,2007,7.3,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,2008,9.1,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,2009,6.9,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,2010,7.8,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,2011,9.1,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,2012,7.4,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,2013,8.1,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,2014,9.5,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,2015,8.1,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,2016,10.3,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,2017,8.1,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,2018,7.6,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,2019,8.6,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,2020,9.1,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,2021,9.1,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,2022,9.5,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,2023,9.7,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,2024,9.3,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
June,2025,8.6,4960,NIWA Station 4960,June,2025-08-01 09:46:31.030696,6
March,1984,15.5,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,1985,13.9,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,1986,14.3,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,1987,13.2,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,1988,14.0,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,1989,14.7,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,1991,14.1,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
