"","Northland","","","","","","","Auckland","","","","","","","Waikato","","","","","","","Bay of Plenty","","","","","","","Hawke's Bay, Gisborne","","","","","","","Taranaki, Manawatu, Wanganui","","","","","","","Wellington","","","","","","","Nelson, Marlborough, Tasman","","","","","","","Canterbury","","","","","","","West Coast","","","","","","","Otago","","","","","","","Southland","","","","","","","New Zealand","","","","","",""
" ","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend"
"1998M12",187,"..","..","..","..","..","..",312,"..","..","..","..","..","..",250,"..","..","..","..","..","..",270,"..","..","..","..","..","..",90,"..","..","..","..","..","..",99,"..","..","..","..","..","..",134,"..","..","..","..","..","..",189,"..","..","..","..","..","..",344,"..","..","..","..","..","..",86,"..","..","..","..","..","..",271,"..","..","..","..","..","..",60,"..","..","..","..","..","..",2292,"..","..","..","..","..",".."
"1999M01",280,221,"..","..",59,"..","..",367,191,"..","..",177,"..","..",381,306,"..","..",75,"..","..",452,363,"..","..",88,"..","..",149,133,"..","..",17,"..","..",138,118,"..","..",20,"..","..",163,112,"..","..",51,"..","..",328,266,"..","..",61,"..","..",454,275,"..","..",179,"..","..",116,57,"..","..",60,"..","..",432,271,"..","..",161,"..","..",87,37,"..","..",49,"..","..",3347,2351,"..","..",996,"..",".."
"1999M02",145,"..","..","..","..","..","..",360,"..","..","..","..","..","..",205,"..","..","..","..","..","..",234,"..","..","..","..","..","..",88,"..","..","..","..","..","..",111,"..","..","..","..","..","..",146,"..","..","..","..","..","..",182,"..","..","..","..","..","..",358,"..","..","..","..","..","..",97,"..","..","..","..","..","..",294,"..","..","..","..","..","..",82,"..","..","..","..","..","..",2303,"..","..","..","..","..",".."
"1999M03",129,"..","..","..","..","..","..",379,"..","..","..","..","..","..",211,"..","..","..","..","..","..",208,"..","..","..","..","..","..",84,"..","..","..","..","..","..",115,"..","..","..","..","..","..",157,"..","..","..","..","..","..",158,"..","..","..","..","..","..",333,"..","..","..","..","..","..",85,"..","..","..","..","..","..",273,"..","..","..","..","..","..",79,"..","..","..","..","..","..",2212,"..","..","..","..","..",".."
"1999M04",119,85,"..","..",34,"..","..",309,156,"..","..",153,"..","..",187,151,"..","..",36,"..","..",255,181,"..","..",74,"..","..",81,69,"..","..",12,"..","..",115,100,"..","..",15,"..","..",153,109,"..","..",43,"..","..",129,96,"..","..",34,"..","..",317,181,"..","..",137,"..","..",71,37,"..","..",34,"..","..",244,120,"..","..",124,"..","..",58,29,"..","..",29,"..","..",2038,1313,"..","..",725,"..",".."
"1999M05",66,"..","..","..","..","..","..",266,"..","..","..","..","..","..",117,"..","..","..","..","..","..",150,"..","..","..","..","..","..",46,"..","..","..","..","..","..",76,"..","..","..","..","..","..",120,"..","..","..","..","..","..",69,"..","..","..","..","..","..",195,"..","..","..","..","..","..",35,"..","..","..","..","..","..",141,"..","..","..","..","..","..",32,"..","..","..","..","..","..",1312,"..","..","..","..","..",".."
"1999M06",62,"..","..","..","..","..","..",253,"..","..","..","..","..","..",136,"..","..","..","..","..","..",156,"..","..","..","..","..","..",51,"..","..","..","..","..","..",84,"..","..","..","..","..","..",127,"..","..","..","..","..","..",67,"..","..","..","..","..","..",190,"..","..","..","..","..","..",34,"..","..","..","..","..","..",126,"..","..","..","..","..","..",25,"..","..","..","..","..","..",1312,"..","..","..","..","..",".."
"1999M07",61,45,"..","..",15,"..","..",302,158,"..","..",143,"..","..",140,119,"..","..",20,"..","..",176,127,"..","..",48,"..","..",54,48,"..","..",6,"..","..",88,81,"..","..",7,"..","..",134,101,"..","..",33,"..","..",62,51,"..","..",11,"..","..",216,137,"..","..",79,"..","..",33,19,"..","..",13,"..","..",225,122,"..","..",103,"..","..",25,18,"..","..",7,"..","..",1515,1028,"..","..",486,"..",".."
"1999M08",59,"..","..","..","..","..","..",281,"..","..","..","..","..","..",119,"..","..","..","..","..","..",146,"..","..","..","..","..","..",50,"..","..","..","..","..","..",98,"..","..","..","..","..","..",114,"..","..","..","..","..","..",62,"..","..","..","..","..","..",219,"..","..","..","..","..","..",29,"..","..","..","..","..","..",249,"..","..","..","..","..","..",24,"..","..","..","..","..","..",1450,"..","..","..","..","..",".."
"1999M09",81,"..","..","..","..","..","..",326,"..","..","..","..","..","..",158,"..","..","..","..","..","..",195,"..","..","..","..","..","..",62,"..","..","..","..","..","..",130,"..","..","..","..","..","..",142,"..","..","..","..","..","..",85,"..","..","..","..","..","..",279,"..","..","..","..","..","..",50,"..","..","..","..","..","..",256,"..","..","..","..","..","..",32,"..","..","..","..","..","..",1795,"..","..","..","..","..",".."
